鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
安平區,土地,金華段15-41地號,108.0,住,,,1020422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,52778,,0.0,0,,RPWSMLNJNHIFFAD28CA,0.0,0.0,0.0,,
北區,房地(土地+建物),台南市北區文成五街１７０號,102.06,住,,,1020330,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,0910916,241.76,4,3,4,有,無,10600000,43845,,0.0,0,,RPQTMLNJNHIFFAD77CA,219.55,0.0,22.21,,
安平區,房地(土地+建物),台南市安平區平豐路２３６巷２０號,45.15,住,,,1020328,土地2建物1車位0,全,六層,透天厝,住商用,鋼筋混凝土構造,0820920,185.66,3,2,2,有,有,5000000,26931,,0.0,0,,RPVNMLOJNHIFFAD77CA,137.94,1.01,5.43,,
中西區,房地(土地+建物),台南市中西區西湖里頂美三街241巷16號,74.85,住,,,1020411,土地3建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,0931007,210.0,5,2,5,有,無,8800000,41905,,0.0,0,,RPPNMLQJNHIFFAD37CA,181.41,0.0,28.59,,
北區,房地(土地+建物),台南市北區西門路四段３３巷１８號,61.51,住,,,1020403,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0700512,118.97,5,2,4,有,無,5550000,46650,,0.0,0,,RPQQMLQJNHIFFAD77CA,118.97,0.0,0.0,,
中西區,土地,環河段2292地號,139.0,住,,,1020315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18201858,130949,,0.0,0,,RPXNMLSJNHIFFAD38CA,0.0,0.0,0.0,,
安平區,土地,新南段84-35地號,150.0,住,,,1020324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11345000,75633,,0.0,0,買方共同登記2人,RPRPMLSJNHIFFAD97CA,0.0,0.0,0.0,,
北區,房地(土地+建物),台南市北區長榮路5段175巷6號,55.0,住,,,1020415,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0600610,84.15,3,2,2,有,無,1276900,15174,,0.0,0,親友關係間之交易。本代理人現非執業之土地登記代理人員，依一般身分非專業代理人協助買賣雙辦理移轉登記；買賣雙方未支付酬勞予代理人，如有不實本代理人願負法律責任。,RPTNMLTJNHIFFAD08CA,84.15,0.0,0.0,,
北區,建物,台南市北區正風里公園路934巷33號,0.0,,,,1020328,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0791129,280.71,5,2,3,有,無,5300000,18881,,0.0,0,,RPQOMLOKNHIFFAD47CA,261.91,0.0,18.8,,
北區,車位,台南市北區北園街８巷１２號十八樓之７公共設施,0.0,,,,1020419,土地0建物0車位1,,,其他,,,,15.0,0,0,0,有,無,350000,,升降機械,15.0,350000,,RPRNMLPKNHIFFAD57CA,0.0,0.0,0.0,,
北區,房地(土地+建物),台南市北區南園街１０１巷２１弄１６號,109.0,住,,,1010512,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1011119,247.7,5,2,6,有,無,12530000,50585,,0.0,0,本件係使用執照取得前之成交案件日期101年5月12日,RPOOMLQKNHIFFAD47CA,227.99,0.0,19.71,,
北區,房地(土地+建物),台南市北區南園街１０１巷３９號,92.0,住,,,1000810,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1011119,206.92,3,2,3,有,無,8300000,40112,,0.0,0,本件係使用執照取得前之成交案件日期100年8月10日,RPPOMLQKNHIFFAD57CA,184.79,0.0,22.13,,
安平區,房地(土地+建物),台南市安平區郡平路１８１號八樓之１５,9.03,住,,,1020410,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0880622,92.14000000000001,2,2,1,有,無,2300000,24962,,0.0,0,,RPUNMLSKNHIFFAD18CA,58.78,3.0,10.15,,
安平區,房地(土地+建物),台南市安平區永華二街４１巷４１號,31.87,住,,,1020408,土地1建物1車位0,一層，二層，三層,七層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土構造,0821008,180.7,3,2,3,有,有,4300000,23796,,0.0,0,,RPVNMLSKNHIFFAD28CA,129.43,1.86,13.0,,
安平區,車位,台南市安平區建平八街７２號,0.0,,,,1020422,土地0建物0車位1,一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0880816,29.69,3,2,1,有,有,300000,,坡道平面,0.0,300000,,RPROMLMLNHIFFAD47CA,0.0,0.0,0.0,,
安平區,房地(土地+建物),台南市安平區建平八街７２號十樓之７,16.6,商,,,1020422,土地1建物1車位0,十層，十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0880816,135.25,3,2,2,有,有,3210000,23734,,0.0,0,,SPROMLMLNHIFFAD57CA,83.71,4.01,7.34,,
安平區,房地(土地+建物),台南市安平區建平十七街４３號二樓之７,7.05,商,,,1020406,土地1建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831011,119.24,3,2,2,有,有,3100000,25998,,0.0,0,,RPXNMLOLNHIFFAD18CA,75.35,0.0,13.34,,
北區,房地(土地+建物)+車位,台南市北區北安路一段１７６巷１０號四樓,29.41,住,,,1020415,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0951129,139.64,3,2,2,有,有,5850000,41893,坡道平面,0.0,0,,RPVPMLRLNHIFFAD48CA,83.08,0.0,8.9,,
北區,房地(土地+建物),台南市中西區民族路二段１５３號十樓之１,83.84,住,,,1020406,土地3建物1車位0,十層,十三層,辦公商業大樓,商業用,鋼筋混凝土構造,0780811,31.23,0,0,1,無,有,5000000,160102,,0.0,0,1.二親等姐妹間交易全部中西區及北區交易     價格 500萬。2.北區實踐段含未保存登記建物。,RPQOMLSLNHIFFAD97CA,29.94,0.0,1.29,,
安南區,房地(土地+建物),台南市安南區安中路一段７０１巷８６之３號,36.81,住,,,1020422,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土構造,0700907,89.67,2,1,2,有,無,850000,9479,,0.0,0,,RPRNMLMJNHIFFBD27CA,79.86,0.0,9.81,,
安南區,房地(土地+建物),台南市安南區學東里公學路七段131巷20弄7號,83.39,住,,,1020327,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0830411,166.01,4,2,3,有,無,2350000,14156,,0.0,0,,RPTOMLMJNHIFFBD57CA,156.32,0.0,9.69,,
安南區,房地(土地+建物),台南市安南區同安路５２巷５３號,85.16,住,,,1020412,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700515,90.7,5,3,3,有,無,4500000,49614,,0.0,0,,RPQNMLNJNHIFFBD27CA,90.7,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區館前二路83巷35號,101.19,住,,,1020415,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1011205,157.72000000000003,4,2,4,有,無,6750000,42797,,0.0,0,,RPOPMLNJNHIFFBD27CA,146.29,0.0,11.32,,
安南區,房地(土地+建物),台南市安南區館前二路83巷33號,101.19,住,,,1020415,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1011205,157.72000000000003,4,2,4,有,無,6730000,42671,,0.0,0,,RPPPMLNJNHIFFBD37CA,146.29,0.0,11.32,,
安南區,房地(土地+建物),台南市安南區館前二路83巷31號,101.19,住,,,1020415,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1011205,157.72000000000003,4,2,4,有,無,6800000,43114,,0.0,0,,RPSPMLNJNHIFFBD67CA,146.29,0.0,11.32,,
安南區,房地(土地+建物),台南市安南區館前二路83巷29號,101.19,住,,,1020415,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1011205,157.72000000000003,4,2,4,有,無,6620000,41973,,0.0,0,,RPTPMLNJNHIFFBD77CA,146.29,0.0,11.32,,
安南區,土地,溪墘段1233地號,299.11,其他,,,1020426,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1038866,3473,,0.0,0,,RPVNMLSJNHIFFBD28CA,0.0,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區長溪路三段405巷40弄147號,93.28,住,,,1020403,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1011015,172.95,4,3,3,有,有,6560000,37930,,0.0,0,,RPTNMLTJNHIFFBD18CA,172.7,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區海東街１０５號,199.24,住,,,1020424,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1011026,226.49,5,2,4,有,無,12500000,55190,,0.0,0,,RPVOMLKKNHIFFBD67CA,222.3,0.0,4.19,,
安南區,土地,草湖段717地號,445.85,住,,,1020415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18206606,40836,,0.0,0,,RPSOMLKKNHIFFBD37CA,0.0,0.0,0.0,,
