鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
安南區,房地(土地+建物),臺南市安南區工明南二路１８號,402.42,工,,,1150128,土地1建物1車位0,全,二層,透天厝,工業用,鋼骨造,0890918,342.63,7,0,4,有,無,38453600,112231,,0.0,0,,RPRNMLQJKHLGFBD87DA,342.63,0.0,0.0,無,
南區,土地,白雪段751地號,70.44,住,,,1150126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2225746,31598,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLNJKHLGFCD47DA,0.0,0.0,0.0,無,
東區,房地(土地+建物),臺南市東區小東路３４８號,89.0,商,,,1150123,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0631122,136.58,3,3,2,有,無,28000000,205008,,0.0,0,頂樓加蓋；其他增建；,RPSNMLOJKHLGFCD87DA,136.58,0.0,0.0,無,
東區,房地(土地+建物),臺南市東區裕農路７２６巷１００號,85.69,住,,,1150130,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750226,115.36,4,2,3,有,無,4080000,35368,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQOMLPJKHLGFCD87DA,109.32,0.0,6.04,無,
東區,房地(土地+建物)+車位,臺南市東區凱旋路２２９號七樓,62.11,住,,,1150106,土地1建物1車位2,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881020,449.62,3,2,3,有,有,25000000,55603,坡道平面,29.8,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJKHLGFCD18DA,273.44,0.0,46.36,有,
新營區,土地,育德段493地號,117.4,住,,,1150116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3080000,26235,,0.0,0,新營區育德段493地號每坪新台幣9萬元整新營區育德段614地號每坪新台幣7萬389元整包含公共設施保留地用地；,RPRNMLRLJHLGFDD28DA,0.0,0.0,0.0,無,
新營區,房地(土地+建物),臺南市新營區五福路１０２之３號,2844.0,工,,,1150121,土地2建物6車位0,全,一層,透天厝,工業用,鋼骨，加強磚造,0880601,2016.78,3,2,3,有,無,100000000,49584,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；夾層；其他增建；未登記建物；,RPTNMLRLJHLGFDD48DA,2016.78,0.0,0.0,無,008
柳營區,土地,小腿段1163地號,634.0,,特定農業區,甲種建築用地,1150129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10520000,16593,,0.0,0,,RPXNMLTJKHLGFDD98DA,0.0,0.0,0.0,無,
白河區,房地(土地+建物),臺南市白河區永安里６鄰國泰路１３７巷７號,86.0,住,,,1150129,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710930,109.4,3,2,2,有,無,5100000,46618,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJKHLGFED08DA,105.8,0.0,3.6,無,
後壁區,土地,竹新段842-3地號,52.07,,鄉村區,水利用地,1150123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,846138,16250,,0.0,0,政府機關標讓售；,RPPNMLKKKHLGFED47DA,0.0,0.0,0.0,無,
麻豆區,土地,廟後段717地號,319.87,住,,,1150101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1950000,6096,,0.0,0,717地號價金新台幣180萬元，727地號價金新台幣15萬元。親友、員工、共有人或其他特殊關係間之交易；未登記建物；包含公共設施保留地用地；,RPQNMLNJKHLGFFD87DA,0.0,0.0,0.0,無,
七股區,土地,新生段19-31地號,32770.0,,一般農業區,養殖用地,1150129,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13852000,423,,0.0,0,,RPQNMLPJKHLGFGD18DA,0.0,0.0,0.0,無,009
佳里區,土地,永昌段86-2地號,1324.0,,特定農業區,農牧用地,1150112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2650000,2002,,0.0,0,農作物；,RPUNMLTJKHLGFGD98DA,0.0,0.0,0.0,無,
七股區,土地,七股段17-6地號,903.73,,一般農業區,農牧用地,1150131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,1107,,0.0,0,,RPROMLKKKHLGFGD97DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物),臺南市新市區豐榮４３之６８號,48.67,,鄉村區,乙種建築用地,1150121,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840413,102.97,3,2,2,有,無,4000000,38846,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLSLJHLGFHD58DA,95.26,0.0,7.71,無,
新化區,房地(土地+建物),臺南市新化區和平街１３１號八樓之２,14.48,都市：其他:住宅區,,,1150111,土地6建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820514,111.08,3,2,2,有,有,4200000,37811,,0.0,0,其他增建；,RPROMLSLJHLGFHD88DA,68.1,0.0,13.39,有,
善化區,房地(土地+建物),臺南市善化區小新營１３之２號,94.6,住,,,1150105,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0820201,153.9,3,2,3,有,無,9800000,63678,,0.0,0,陽台外推；頂樓加蓋；其他增建；包含公共設施保留地用地；,RPUNMLKMJHLGFHD38DA,142.39,0.0,11.51,無,
新市區,土地,東大社段815地號,1695.0,,特定農業區,農牧用地,1150108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,2950,,0.0,0,,RPOOMLQJKHLGFHD28DA,0.0,0.0,0.0,無,
仁德區,房地(土地+建物),臺南市仁德區仁義里中正路二段１０７８巷１１號,554.04,住,,,1150107,土地5建物1車位0,全,一層,透天厝,工業用,磚造、鐵骨造、石棉瓦。,0620600,428.17,0,0,0,無,無,23000000,53717,,0.0,0,,RPSOMLRLJHLGFID98DA,428.17,0.0,0.0,無,
仁德區,房地(土地+建物),臺南市仁德區德善路３４９巷３號,34.4,住,,,1150131,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710910,39.16,4,2,2,有,無,1500000,38304,,0.0,0,持分買賣親友、員工、共有人或其他特殊關係間之交易；,RPTRMLQJKHLGFID56DA,34.6,0.0,4.56,無,010
關廟區,土地,新埔段294地號,1684.0,,一般農業區,農牧用地,1150102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3620600,2150,,0.0,0,,RPPNMLTJKHLGFID68DA,0.0,0.0,0.0,無,011
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３７號五樓之２,23.91,商,,,1150122,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,141.92000000000002,3,2,2,有,有,15230000,107314,坡道平面,25.44,0,,RPSOMLTJKHLGFID09DA,68.44,0.0,7.18,有,012
仁德區,土地,中軍段232-1地號,0.71,住,,,1150130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,24699,0,,0.0,0,,RPVOMLTJKHLGFID76DA,0.0,0.0,0.0,無,013
玉井區,土地,玉成段12-5地號,216.19,農,,,1150120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1109055,5130,,0.0,0,政府機關標讓售；,RPPNMLOJKHLGFJD28DA,0.0,0.0,0.0,無,
後壁區,土地,竹圍後段2014-2地號,925.0,,特定農業區,農牧用地,1150109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1480000,1600,,0.0,0,,RPPNMLKKKHLGFED57EA,0.0,0.0,0.0,無,
