鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北區,房地(土地+建物),台南市北區公園南路３７０巷７２號十二樓,5.07,住,,,1020717,土地1建物1車位0,十二層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0840912,33.879999999999995,1,1,1,有,有,1000000,29516,,0.0,0,,RPUOMLMJQHIFFAD87CA,20.98,0.0,2.06,,
安平區,房地(土地+建物),臺南市安平區健康三街５９２巷５５號二十一樓之１,4.73,住,,,1020716,土地1建物1車位0,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0861022,91.59,1,1,1,有,無,2500000,27296,,0.0,0,,RPUOMLPJQHIFFAD18CA,63.9,0.0,4.41,,
安平區,房地(土地+建物),臺南市安平區安平路446巷30號四樓之1,38.61,住,,,1020611,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土構造,0840426,157.83,3,0,2,有,無,2650000,16790,,0.0,0,,RPQOMLQJQHIFFAD87CA,96.75,0.0,9.9,,
北區,車位,臺南市北區西門路三段１５１號十一樓之１,0.0,,,,1020717,土地0建物0車位1,,,其他,,,,17.57,0,0,0,有,有,300000,,升降機械,17.57,300000,單獨車位交易。,RPUNMLRJQHIFFAD28CA,0.0,0.0,0.0,,
安平區,土地,海興段24地號,1927.0,住,,,1020610,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,92260000,47878,,0.0,0,,RPORMLRJQHIFFAD08CA,0.0,0.0,0.0,,
中西區,房地(土地+建物),臺南市中西區金華新路４３號十二樓之４,3.06,住,,,1020708,土地2建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0840104,23.76,1,0,1,有,無,470000,19781,,0.0,0,向資產管理公司承購,RPPNMLSJQHIFFAD87CA,20.0,0.0,3.76,,
安平區,房地(土地+建物),臺南市安平區永華八街２號二樓之５,6.81,商,,,1020723,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0960719,68.44,1,1,1,有,有,2550000,37259,,0.0,0,,RPPQMLTJQHIFFAD28CA,0.0,0.0,0.0,,
安平區,土地,上鯤鯓段545-11地號,76.0,住,,,1020708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,39474,,0.0,0,,RPPNMLKKQHIFFAD17CA,0.0,0.0,0.0,,
中西區,土地,建興段496地號,29.0,商,,,1020717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1040000,35862,,0.0,0,,RPUNMLKKQHIFFAD67CA,0.0,0.0,0.0,,
中西區,房地(土地+建物),臺南市中西區西賢一街２５８巷６號,140.92,住,,,1020627,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土構造,0800627,264.88,5,2,5,有,有,10100000,38130,,0.0,0,,RPOOMLNKQHIFFAD47CA,239.6,9.48,15.8,,
中西區,房地(土地+建物)+車位,臺南市中西區民族路二段１０７號十二樓之３,15.42,商,,,1020711,土地3建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831019,162.66,4,2,2,有,有,7600000,46723,坡道平面,0.0,0,,RPPNMLOKQHIFFAD57CA,92.92,3.19,6.44,,
中西區,土地,永樂段三小段129地號,54.44,商,,,1020723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1694000,31117,,0.0,0,,RPOPMLOKQHIFFAD67CA,0.0,0.0,0.0,,
北區,房地(土地+建物)+車位,臺南市北區北園街６之３號十樓之３,10.5,商,,,1020702,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0851202,125.38,3,2,2,有,有,4900000,39081,坡道機械,0.0,0,,RPXNMLPKQHIFFAD48CA,78.71,9.04,0.0,,
北區,房地(土地+建物),臺南市北區文賢路１０３０巷３弄８號,136.69,住,,,1020701,土地1建物1車位0,全,二層,透天厝,住工用,加強磚造,,180.44,3,2,2,有,無,9000000,49878,,0.0,0,,RPOPMLQKQHIFFAD87CA,180.44,0.0,0.0,,
安平區,房地(土地+建物),臺南市安平區慶平路１６６號六樓之１,7.87,商,,,1020710,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0850427,88.86,1,1,1,有,有,2500000,28134,,0.0,0,,RPWPMLNLQHIFFAD48CA,59.51,1.49,2.8,,
北區,房地(土地+建物)+車位,臺南市北區北成路８０巷２２弄１０號,31.75,住,,,1020723,土地1建物1車位1,一層，夾層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土構造,0840913,131.09,3,2,2,有,有,4500000,34328,坡道平面,0.0,0,,RPUPMLTJRHIFFAD78CA,83.59,0.0,0.0,,
安南區,房地(土地+建物),臺南市安南區長和路一段５２７巷１９號,99.38,住,,,1020725,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土構造,1020206,158.52,3,2,4,有,無,6980000,44032,,0.0,0,,RPTOMLQJQHIFFBD28CA,147.14,0.0,11.32,,
安南區,土地,學南段372地號,243.15,農,,,1020719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1654875,6806,,0.0,0,,RPUNMLQJQHIFFBD28CA,0.0,0.0,0.0,,
安南區,房地(土地+建物),臺南市安南區長和路一段５５９巷４１號,118.13,住,,,1020625,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1011204,179.57999999999998,5,2,3,有,有,7800000,43435,,0.0,0,,RPROMLSJQHIFFBD28CA,156.43,0.0,18.83,,
安南區,房地(土地+建物),臺南市安南區館前街６７巷３號,133.6,住,,,1020723,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1020408,238.39,5,2,4,有,無,11100000,46562,,0.0,0,土地折讓新台幣250萬元整，折讓後買賣價新台幣516萬元整。,RPTNMLTJQHIFFBD48CA,215.64,0.0,22.75,,
安南區,土地,鹿北段693-15地號,1779.86,農,,,1020712,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,899,,0.0,0,,RPSNMLNKQHIFFBD87CA,0.0,0.0,0.0,,
安南區,土地,鹿北段693地號,1228.76,農,,,1020712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,936,,0.0,0,,RPTNMLNKQHIFFBD97CA,0.0,0.0,0.0,,
東區,土地,德高段5-1地號,201.76,其他,,,1020717,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4450000,22056,,0.0,0,本案件為法院調解案件公共設施保留地，價金為新台幣445萬元整。,RPOOMLMJQHIFFCD47CA,0.0,0.0,0.0,,
東區,土地,精忠段324地號,324.0,其他,,,1020723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,3704,,0.0,0,親友、員工或其他特殊關係間之交易。包含公共設施保留地之交易。,RPROMLMJQHIFFCD77CA,0.0,0.0,0.0,,
東區,房地(土地+建物),臺南市東區林森路一段１４９號２１樓之７,4.51,商,,,1020707,土地2建物1車位0,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0800111,75.23,2,1,1,有,有,1580000,21002,,0.0,0,,RPRNMLOJQHIFFCD87CA,0.0,0.0,0.0,,
