鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段及三興街交叉口,16.46,住,,,1150105,土地2建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.53,2,2,2,有,無,9100000,87416,坡道平面,25.73,1250000,,RPSNMLMLJHLGFDD87CB,佳順 ? 大悅,A1棟1號,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段及三興街交叉口,25.38,住,,,1150105,土地2建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.4,3,2,2,有,無,13370000,88597,坡道平面,25.73,1350000,,RPVNMLMLJHLGFDD18CB,佳順 ? 大悅,C5棟1號,
永康區,房地(土地+建物)+車位,臺南市永康區新興街34巷及六合路71巷交叉口,45.68,住,,,1150105,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.92,3,2,2,有,無,13800000,105014,一樓平面,20.65,1800000,,RPRNMLMLJHLGFKD48CB,欣澄佳6,A1號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,22.08,住,,,1150106,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.74,3,2,2,有,無,11250000,93774,坡道平面,29.3,1550000,,RPPNMLNLJHLGFBD47CB,佳展安和,B1棟11號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,28.14,住,,,1150106,土地1建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.08,3,2,2,有,無,17680000,107496,坡道平面,56.82,4000000,,RPSNMLOLJHLGFHD48CB,佳鋐科匯,B5棟0號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,19.9,住,,,1150106,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.34,2,2,1,有,無,11530000,105906,坡道平面,28.41,1900000,,RPTNMLOLJHLGFHD58CB,佳鋐科匯,A6棟0號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.94,住,,,1150101,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.81,2,2,1,有,無,11300000,110180,坡道平面,19.31,2100000,,RPPNMLPLJHLGFBD67CB,?讀耶魯,B棟02號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.94,住,,,1150110,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.75,2,2,1,有,無,11120000,108102,坡道平面,19.31,2100000,,RPQNMLPLJHLGFBD77CB,?讀耶魯,A棟02號,
安南區,房地(土地+建物)+車位,臺南市安南區安豐五街186巷,30.08,住,,,1150103,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,124.4,3,2,2,有,無,12800000,106272,坡道平面,18.54,1550000,,RPPNMLRLJHLGFBD87CB,連建勤學,A7號,
白河區,房地(土地+建物)+車位,臺南市白河區富民路,103.05,住,,,1150110,土地4建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,146.64,4,2,3,有,無,10880000,74195,一樓平面,0.0,0,停車位位於室內專有範圍內,RPPNMLRLJHLGFED18CB,廣晟森白舍,B棟B17號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道及高鐵五路口,22.73,住,,,1150102,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.0,0,0,2,有,無,15820000,147211,坡道平面,24.14,2150000,,RPPNMLSLJHLGFID68CB,坐忘林,D棟7號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道及高鐵五路口,14.77,住,,,1150102,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.6,0,0,1,有,無,11220000,147576,坡道平面,24.14,2150000,,RPTNMLSLJHLGFID09CB,坐忘林,D棟8號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵十二路171號對面,25.79,住,,,1150106,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.05,2,2,2,有,無,12200000,110972,坡道平面,33.08,1550000,,RPPNMLMJKHLGFID97CB,高鐵ONE,F棟F3-08F號,
安南區,房地(土地+建物)+車位,臺南市安南區宜居二路,16.62,住,,,1150110,土地1建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.99,2,2,1,有,無,14250000,123725,坡道平面,22.98,2000000,,RPPNMLNJKHLGFBD37CB,皇龍天韻,B棟1號,
善化區,房地(土地+建物)+車位,臺南市善化區善成段1361地號,36.22,住,,,1150110,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,140.35,2,2,2,有,無,14580000,112553,一樓平面,28.58,2000000,,RPPNMLRJKHLGFHD38CB,德和擇善,A棟2號,
