鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
仁德區,房地(土地+建物)+車位,台南市仁德區仁和里仁愛街8號11樓之1,44.53,住,,,1011116,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990422,164.17,4,2,2,有,有,3570023,21746,坡道平面,0.0,0,,RPWOMLNJJHIFFFR96EA,95.38,0.0,10.28,,
仁德區,房地(土地+建物)+車位,台南市仁德區仁和里和愛街10號11樓之3,47.2,住,,,1011116,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990422,174.15,4,2,2,有,有,3786589,21743,坡道平面,0.0,0,,RPSPMLLJKHIFFFR56EA,102.03,0.0,10.11,,
歸仁區,房地(土地+建物)+車位,台南市歸仁區忠孝北路29號5樓,40.93,住,,,1011112,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820304,160.86,3,1,2,有,無,1200000,7460,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLSLJHIFFFR47EA,88.63,1.2,9.02,,
仁德區,房地(土地+建物)+車位,台南市仁德區仁和里和愛街6號2樓之3,44.53,住,,,1011116,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990422,164.17,4,2,2,有,有,3570023,21746,坡道平面,0.0,0,,RPUUMLLJKHIFFFR27EA,95.38,0.0,10.28,,
仁德區,土地,德南段1067地號,9.3,農,,,1011205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21390,2300,,0.0,0,,RPROMLPLKIHFFFR76CA,0.0,0.0,0.0,,
歸仁區,房地(土地+建物)+車位,台南市歸仁區後市里民族北街１７巷２號七樓之２,24.91,住,,,1011119,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821224,146.9,3,2,2,有,有,2180000,14840,坡道平面,15.56,0,,RPTOMLRJJHIFFFR86CA,79.01,1.06,12.28,,
歸仁區,土地,歸仁北段1063-40地號,125.0,商,,,1011124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,65600,,0.0,0,,RPSNMLNKKIHFFFR09CA,0.0,0.0,0.0,,
仁德區,房地(土地+建物),台南市仁德區德善路305巷13弄229之20號,160.66,住,,,1011130,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000201,227.78,3,2,3,有,無,8100000,35561,,0.0,0,,RPQOMLMKKIHFFFR88CA,209.71,0.0,18.07,,
歸仁區,房地(土地+建物),台南市歸仁區大成路247號,82.75,住,,,1011126,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0870710,176.24,5,2,4,有,無,6600000,37449,,0.0,0,含增建或未登記建物。,RPUNMLNKKIHFFFR66CA,0.0,0.0,0.0,,
歸仁區,房地(土地+建物),台南市歸仁區看東里成功一街109號,81.0,住,,,1011023,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1010822,166.81,4,2,3,有,無,5180000,31053,,0.0,0,,RPQNMLLKKIHFFFR68CA,137.55,0.0,29.26,,
