鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號十二樓之５,36.68,商,,,1130621,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,230.17000000000002,4,2,2,有,有,26290000,128228,坡道平面,50.88,3300000,預售屋、或土地及建物分件登記案件；,RPQOMLRJKIKGFID68DA,106.5,0.0,10.67,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號十二樓之８,30.02,商,,,1130615,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,197.8,4,2,2,有,有,22550000,128641,坡道平面,50.88,3650000,預售屋、或土地及建物分件登記案件；,RPROMLRJKIKGFID78DA,87.84,0.0,7.8,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號十二樓之１,36.68,商,,,1130602,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,230.17000000000002,4,2,2,有,有,26960000,130849,坡道平面,50.88,3500000,預售屋、或土地及建物分件登記案件；,RPSPMLRJKIKGFID98DA,106.5,0.0,10.67,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號六樓之２,19.29,商,,,1130601,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,120.35,2,2,2,有,有,13000000,120641,坡道平面,25.44,1550000,預售屋、或土地及建物分件登記案件；,RPVPMLRJKIKGFID66DA,57.4,0.0,4.57,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號三樓之５,36.68,商,,,1130608,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,230.17000000000002,4,2,2,有,有,24700000,118244,坡道平面,50.88,3500000,預售屋、或土地及建物分件登記案件；,RPWPMLRJKIKGFID76DA,106.5,0.0,10.67,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號十七樓之５,36.68,商,,,1130622,土地1建物1車位3,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,255.61,4,2,2,有,有,29220000,134531,坡道平面,76.32,5100000,預售屋、或土地及建物分件登記案件；,RPRNMLKKKIKGFID08DA,106.5,0.0,10.67,有,
永康區,房地(土地+建物)+車位,臺南市永康區永勝街５５號七樓之２,24.46,住,,,1130505,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141022,161.92000000000002,3,2,2,有,有,15200000,105672,坡道平面,33.22,1600000,預售屋、或土地及建物分件登記案件；,RPPOMLMLKIKGFKD48DA,75.06,0.0,9.86,有,
永康區,房地(土地+建物)+車位,臺南市永康區永勝街５５號七樓之１,18.88,住,,,1130505,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141022,133.24,2,2,2,有,有,12250000,106479,坡道平面,33.22,1600000,114.4.13權利轉讓總價為新台幣1225萬元整母子預售屋、或土地及建物分件登記案件；,RPVNMLSJJHLGFKD66DA,59.47,0.0,6.49,有,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段２３０號二樓之六,21.76,住,,,1130502,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141110,121.59,3,2,2,有,無,9260000,76158,坡道平面,27.44,0,預售屋、或土地及建物分件登記案件；,RPQNMLKMJHLGFDD67EA,54.81,0.0,5.47,有,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段２３０號七樓之六,21.76,住,,,1130513,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141110,121.59,3,2,2,有,無,9900000,81421,坡道平面,27.44,0,預售屋、或土地及建物分件登記案件；,RPVNMLKMJHLGFDD18EA,54.81,0.0,5.47,有,
北區,房地(土地+建物)+車位,臺南市北區和緯路二段３４１號十二樓之１,19.18,住,,,1130526,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141110,169.67000000000002,2,2,3,有,有,22320000,139571,坡道平面,22.29,1750000,預售屋、或土地及建物分件登記案件；,RPTPMLQJJHLGFAD08DA,85.99,0.0,8.01,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３５號二樓之６,23.77,商,,,1130522,土地1建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,141.32,3,2,2,有,有,16760000,132119,坡道平面,25.44,1450000,預售屋、或土地及建物分件登記案件；,RPRRMLNJKIKGFID68DA,68.27,0.0,7.17,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３３號五樓之７,14.94,商,,,1130528,土地1建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,98.41,2,2,1,有,有,10700000,126764,坡道平面,25.44,1450000,114年10月13日讓渡，讓渡金額1070萬元整預售屋、或土地及建物分件登記案件；,RPVPMLSJKIKGFID76DA,42.77,0.0,4.35,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３９號十五樓之１,24.18,商,,,1130524,土地1建物1車位2,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,168.92000000000002,3,2,2,有,有,18390000,131227,坡道平面,50.88,2900000,預售屋、或土地及建物分件登記案件；,RPVNMLSKKIKGFID66DA,69.6,0.0,7.17,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號十四樓之５,36.68,商,,,1130504,土地1建物1車位2,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,230.17000000000002,4,2,2,有,有,23480000,114228,坡道平面,50.88,3000000,預售屋、或土地及建物分件登記案件；,RPSPMLPKKIKGFID88DA,106.5,0.0,10.67,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３１號三樓之１,36.68,商,,,1130527,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,230.17000000000002,4,2,2,有,有,24880000,121479,坡道平面,50.88,3100000,預售屋、或土地及建物分件登記案件；,RPPQMLSJKIKGFID88DA,106.5,0.0,10.67,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３７號十二樓之２,23.91,商,,,1130504,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,141.92000000000002,3,2,2,有,有,15650000,122339,坡道平面,25.44,1400000,114年10月13日姐讓渡給妹，讓渡金額1565萬元整114年10月15日妻讓渡給夫，讓渡金額1565萬元整預售屋、或土地及建物分件登記案件；,RPRQMLPKKIKGFID88DA,68.44,0.0,7.18,有,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區光明街３３５號三樓之３,25.34,住,,,1130513,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141013,124.48,2,2,2,有,有,9530000,86155,坡道平面,31.16,1490000,預售屋、或土地及建物分件登記案件；,RPXOMLKMJHLGFID88DA,54.83,0.0,6.91,有,
北區,房地(土地+建物)+車位,臺南市北區中華北路一段２０３巷１６弄２２號十樓之８,19.85,住,,,1130507,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140814,113.94999999999999,2,2,1,有,有,10500000,110514,坡道平面,33.87,1650000,預售屋、或土地及建物分件登記案件；,RPTOMLPJKHLGFAD97DA,50.71,0.0,2.58,有,
學甲區,房地(土地+建物)+車位,臺南市學甲區民族路７２之１號四樓之２,33.91,住,,,1130512,土地1建物1車位1,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140515,117.42999999999999,2,2,2,有,有,6170000,55274,一樓平面,24.8,1050000,預售屋、或土地及建物分件登記案件；,RPSPMLMJKHLGFGD28DA,59.64,0.0,6.07,有,
