鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中西區,房地(土地+建物),台南市中西區頂美三街２７６號,102.0,住,,,1010725,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0910904,264.39,5,2,5,有,無,11500000,43496,,0.0,0,,RPQNMLSJQHHFFAD87CA,238.7,0.0,25.69,,
東區,房地(土地+建物),台南市東區衛國街１１２巷１１號,20.06,住,,,1010730,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土構造,0690522,62.63,3,1,1,有,無,1800000,28740,,0.0,0,,RPXNMLNLQHHFFCD48CA,62.63,0.0,0.0,,
東區,車位,台南市東區中華東路一段８６號十三樓之１,0.0,,,,1010715,土地0建物0車位1,十二層,十四層,其他,住家用,鋼筋混凝土構造,0890822,49.47,0,0,0,有,無,500000,,其他,24.74,500000,,RPOOMLOLQHHFFCD77CA,0.0,0.0,0.0,,
東區,車位,台南市東區中華東路一段９０號十二樓之６,0.0,,,,1010715,土地0建物0車位1,十二層,十四層,其他,住家用,鋼筋混凝土構造,0890822,49.47,0,0,0,有,無,500000,,其他,24.74,500000,,SPOOMLOLQHHFFCD87CA,0.0,0.0,0.0,,
東區,房地(土地+建物),台南市東區崇德十八街９號,91.0,住,,,1010620,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1000415,269.07,6,2,4,有,無,17500000,65039,,0.0,0,,RPQNMLLMQHHFFCD67CA,246.39,0.0,22.68,,
下營區,土地,大屯寮段3333地號,2354.0,,特定農業區,農牧用地,1010727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600720,680,,0.0,0,,RPRNMLKMQHHFFCR09CA,0.0,0.0,0.0,,
佳里區,土地,蚶寮段211地號,1500.0,,特定農業區,農牧用地,1010726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,700,,0.0,0,,RPRNMLOJQHHFFDR66CA,0.0,0.0,0.0,,
西港區,土地,中州段1867-12地號,106.0,住,,,1010721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,10377,,0.0,0,,RPQNMLQJQHHFFDR76CA,0.0,0.0,0.0,,
永康區,房地(土地+建物),台南市永康區東橋三路２０１號,88.01,住,,,1000531,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1010321,231.23,4,2,4,有,無,11180000,48350,,0.0,0,,RPWNMLKMQHHFFHR47CA,184.05,6.22,40.96,,
白河區,房地(土地+建物),台南市白河區白河里中山路2-50號,75.0,住,,,1010717,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0850729,224.48,2,1,2,有,無,6360000,28332,,0.0,0,,RPPOMLRKQHHFFBR86DA,0.0,0.0,0.0,,
